,Source,BGC,SS_NoSpace,Edatopic
55,BECv10,BAFAunp,BAFAunp/00,D1
56,BECv10,BAFAunp,BAFAunp/00,D0
57,BECv10,BAFAunp,BAFAunp/00,C7
58,BECv10,BAFAunp,BAFAunp/00,C6
59,BECv10,BAFAunp,BAFAunp/00,C5
60,BECv10,BAFAunp,BAFAunp/00,C4
61,BECv10,BAFAunp,BAFAunp/00,C3
62,BECv10,BAFAunp,BAFAunp/00,C2
63,BECv10,BAFAunp,BAFAunp/00,C1
64,BECv10,BAFAunp,BAFAunp/00,C0
65,BECv10,BAFAunp,BAFAunp/00,B7
66,BECv10,BAFAunp,BAFAunp/00,B6
67,BECv10,BAFAunp,BAFAunp/00,B5
68,BECv10,BAFAunp,BAFAunp/00,B4
69,BECv10,BAFAunp,BAFAunp/00,B3
70,BECv10,BAFAunp,BAFAunp/00,B2
71,BECv10,BAFAunp,BAFAunp/00,B1
72,BECv10,BAFAunp,BAFAunp/00,B0
73,BECv10,BAFAunp,BAFAunp/00,A7
74,BECv10,BAFAunp,BAFAunp/00,A6
75,BECv10,BAFAunp,BAFAunp/00,A5
76,BECv10,BAFAunp,BAFAunp/00,A4
77,BECv10,BAFAunp,BAFAunp/00,A3
78,BECv10,BAFAunp,BAFAunp/00,A2
79,BECv10,BAFAunp,BAFAunp/00,A1
80,BECv10,BAFAunp,BAFAunp/00,A0
81,USA_2019,BGdh_OR,BGdh_OR/110,E5
82,USA_2019,BGdh_OR,BGdh_OR/110,D5
83,USA_2019,BGdh_OR,BGdh_OR/110,C5
84,USA_2019,BGdh_OR,BGdh_OR/110,B5
85,USA_2019,BGdh_OR,BGdh_OR/111,E6
86,USA_2019,BGdh_OR,BGdh_OR/111,D6
87,USA_2019,BGdh_OR,BGdh_OR/111,C6
88,USA_2019,BGdh_OR,BGdh_OR/111,B6
89,USA_2019,BGdh_OR,BGdh_OR/Gg1,D2
90,USA_2019,BGdh_OR,BGdh_OR/Gg1,D1
91,USA_2019,BGdh_OR,BGdh_OR/Gg1,C2
92,USA_2019,BGdh_OR,BGdh_OR/Gg1,C1
93,USA_2019,BGdh_OR,BGdh_OR/Gg1,B2
94,USA_2019,BGdh_OR,BGdh_OR/Gg1,B1
95,USA_2019,BGdh_OR,BGdh_OR/Gg1,A2
96,USA_2019,BGdh_OR,BGdh_OR/Gg1,A1
97,USA_2019,BGdh_OR,BGdh_OR/Gg2,D4
98,USA_2019,BGdh_OR,BGdh_OR/Gg2,D3
99,USA_2019,BGdh_OR,BGdh_OR/Gg2,C4
100,USA_2019,BGdh_OR,BGdh_OR/Gg2,C3
101,USA_2019,BGdh_OR,BGdh_OR/Gg2,B4
102,USA_2019,BGdh_OR,BGdh_OR/Gg2,B3
103,Add_2021,BGdh_OR,BGdh_OR/Ro,A0
104,Add_2021,BGdh_OR,BGdh_OR/Ro,B0
105,USA_2020,BGdw_OR,BGdw_OR/110,E5
106,USA_2020,BGdw_OR,BGdw_OR/110,D5
107,USA_2020,BGdw_OR,BGdw_OR/110,C5
108,USA_2020,BGdw_OR,BGdw_OR/110,B5
109,USA_2020,BGdw_OR,BGdw_OR/111,E6
110,USA_2020,BGdw_OR,BGdw_OR/111,D6
111,USA_2020,BGdw_OR,BGdw_OR/111,C6
112,USA_2020,BGdw_OR,BGdw_OR/111,B6
113,USA_2020,BGdw_OR,BGdw_OR/Gg,D4
114,USA_2020,BGdw_OR,BGdw_OR/Gg,D3
115,USA_2020,BGdw_OR,BGdw_OR/Gg,D2
116,USA_2020,BGdw_OR,BGdw_OR/Gg,D1
117,USA_2020,BGdw_OR,BGdw_OR/Gg,C4
118,USA_2020,BGdw_OR,BGdw_OR/Gg,C3
119,USA_2020,BGdw_OR,BGdw_OR/Gg,C2
120,USA_2020,BGdw_OR,BGdw_OR/Gg,C1
121,USA_2020,BGdw_OR,BGdw_OR/Gg,B4
122,USA_2020,BGdw_OR,BGdw_OR/Gg,B3
123,USA_2020,BGdw_OR,BGdw_OR/Gg,B2
124,USA_2020,BGdw_OR,BGdw_OR/Gg,B1
125,USA_2020,BGdw_OR,BGdw_OR/Gg,A2
126,USA_2020,BGdw_OR,BGdw_OR/Gg,A1
127,Add_2021,BGdw_OR,BGdw_OR/Ro,A0
128,Add_2021,BGdw_OR,BGdw_OR/Ro,B0
129,USA_2019,BGdw_WA,BGdw_WA/110,E5
130,USA_2019,BGdw_WA,BGdw_WA/110,D5
131,USA_2019,BGdw_WA,BGdw_WA/110,C5
132,USA_2019,BGdw_WA,BGdw_WA/110,B5
133,USA_2019,BGdw_WA,BGdw_WA/111,E6
134,USA_2019,BGdw_WA,BGdw_WA/111,D6
135,USA_2019,BGdw_WA,BGdw_WA/111,C6
136,USA_2019,BGdw_WA,BGdw_WA/111,B6
137,USA_2019,BGdw_WA,BGdw_WA/Gg,D4
138,USA_2019,BGdw_WA,BGdw_WA/Gg,D3
139,USA_2019,BGdw_WA,BGdw_WA/Gg,D2
140,USA_2019,BGdw_WA,BGdw_WA/Gg,D1
141,USA_2019,BGdw_WA,BGdw_WA/Gg,C4
142,USA_2019,BGdw_WA,BGdw_WA/Gg,C3
143,USA_2019,BGdw_WA,BGdw_WA/Gg,C2
144,USA_2019,BGdw_WA,BGdw_WA/Gg,C1
145,USA_2019,BGdw_WA,BGdw_WA/Gg,B4
146,USA_2019,BGdw_WA,BGdw_WA/Gg,B3
147,USA_2019,BGdw_WA,BGdw_WA/Gg,B2
148,USA_2019,BGdw_WA,BGdw_WA/Gg,B1
149,USA_2019,BGdw_WA,BGdw_WA/Gg,A2
150,USA_2019,BGdw_WA,BGdw_WA/Gg,A1
151,Add_2021,BGdw_WA,BGdw_WA/Ro,A0
152,Add_2021,BGdw_WA,BGdw_WA/Ro,B0
153,USA_2019,BGmk_MT,BGmk_MT/110,E5
154,USA_2019,BGmk_MT,BGmk_MT/110,D5
155,USA_2019,BGmk_MT,BGmk_MT/110,C5
156,USA_2019,BGmk_MT,BGmk_MT/110,B5
157,USA_2019,BGmk_MT,BGmk_MT/111,E6
158,USA_2019,BGmk_MT,BGmk_MT/111,D6
159,USA_2019,BGmk_MT,BGmk_MT/111,C6
160,USA_2019,BGmk_MT,BGmk_MT/111,B6
161,USA_2019,BGmk_MT,BGmk_MT/Gg1,D2
162,USA_2019,BGmk_MT,BGmk_MT/Gg1,D1
163,USA_2019,BGmk_MT,BGmk_MT/Gg1,C2
164,USA_2019,BGmk_MT,BGmk_MT/Gg1,C1
165,USA_2019,BGmk_MT,BGmk_MT/Gg1,B2
166,USA_2019,BGmk_MT,BGmk_MT/Gg1,B1
167,USA_2019,BGmk_MT,BGmk_MT/Gg1,A2
168,USA_2019,BGmk_MT,BGmk_MT/Gg1,A1
169,USA_2019,BGmk_MT,BGmk_MT/Gg2,D4
170,USA_2019,BGmk_MT,BGmk_MT/Gg2,D3
171,USA_2019,BGmk_MT,BGmk_MT/Gg2,C4
172,USA_2019,BGmk_MT,BGmk_MT/Gg2,C3
173,USA_2019,BGmk_MT,BGmk_MT/Gg2,B4
174,USA_2019,BGmk_MT,BGmk_MT/Gg2,B3
175,Add_2021,BGmk_MT,BGmk_MT/Ro,A0
176,Add_2021,BGmk_MT,BGmk_MT/Ro,B0
177,USA_2020,BGmk_NV,BGmk_NV/110,E5
178,USA_2020,BGmk_NV,BGmk_NV/110,D5
179,USA_2020,BGmk_NV,BGmk_NV/110,C5
180,USA_2020,BGmk_NV,BGmk_NV/110,B5
181,USA_2020,BGmk_NV,BGmk_NV/111,E6
182,USA_2020,BGmk_NV,BGmk_NV/111,D6
183,USA_2020,BGmk_NV,BGmk_NV/111,C6
184,USA_2020,BGmk_NV,BGmk_NV/111,B6
185,USA_2020,BGmk_NV,BGmk_NV/Gg1,D2
186,USA_2020,BGmk_NV,BGmk_NV/Gg1,D1
187,USA_2020,BGmk_NV,BGmk_NV/Gg1,C2
188,USA_2020,BGmk_NV,BGmk_NV/Gg1,C1
189,USA_2020,BGmk_NV,BGmk_NV/Gg1,B2
190,USA_2020,BGmk_NV,BGmk_NV/Gg1,B1
191,USA_2020,BGmk_NV,BGmk_NV/Gg1,A2
192,USA_2020,BGmk_NV,BGmk_NV/Gg1,A1
193,USA_2020,BGmk_NV,BGmk_NV/Gg2,D4
194,USA_2020,BGmk_NV,BGmk_NV/Gg2,D3
195,USA_2020,BGmk_NV,BGmk_NV/Gg2,C4
196,USA_2020,BGmk_NV,BGmk_NV/Gg2,C3
197,USA_2020,BGmk_NV,BGmk_NV/Gg2,B4
198,USA_2020,BGmk_NV,BGmk_NV/Gg2,B3
199,Add_2021,BGmk_NV,BGmk_NV/Ro,A0
200,Add_2021,BGmk_NV,BGmk_NV/Ro,B0
201,USA_2019,BGmm_MT,BGmm_MT/110,E5
202,USA_2019,BGmm_MT,BGmm_MT/110,D5
203,USA_2019,BGmm_MT,BGmm_MT/110,C5
204,USA_2019,BGmm_MT,BGmm_MT/110,B5
205,USA_2019,BGmm_MT,BGmm_MT/111,E6
206,USA_2019,BGmm_MT,BGmm_MT/111,D6
207,USA_2019,BGmm_MT,BGmm_MT/111,C6
208,USA_2019,BGmm_MT,BGmm_MT/111,B6
209,USA_2019,BGmm_MT,BGmm_MT/Gg1,D2
210,USA_2019,BGmm_MT,BGmm_MT/Gg1,D1
211,USA_2019,BGmm_MT,BGmm_MT/Gg1,C2
212,USA_2019,BGmm_MT,BGmm_MT/Gg1,C1
213,USA_2019,BGmm_MT,BGmm_MT/Gg1,B2
214,USA_2019,BGmm_MT,BGmm_MT/Gg1,B1
215,USA_2019,BGmm_MT,BGmm_MT/Gg1,A2
216,USA_2019,BGmm_MT,BGmm_MT/Gg1,A1
217,USA_2019,BGmm_MT,BGmm_MT/Gg2,D4
218,USA_2019,BGmm_MT,BGmm_MT/Gg2,D3
219,USA_2019,BGmm_MT,BGmm_MT/Gg2,C4
220,USA_2019,BGmm_MT,BGmm_MT/Gg2,C3
221,USA_2019,BGmm_MT,BGmm_MT/Gg2,B4
222,USA_2019,BGmm_MT,BGmm_MT/Gg2,B3
223,Add_2021,BGmm_MT,BGmm_MT/Ro,A0
224,Add_2021,BGmm_MT,BGmm_MT/Ro,B0
225,USA_2020,BGmw_OR,BGmw_OR/110,E5
226,USA_2020,BGmw_OR,BGmw_OR/110,D5
227,USA_2020,BGmw_OR,BGmw_OR/110,C5
228,USA_2020,BGmw_OR,BGmw_OR/110,B5
229,USA_2020,BGmw_OR,BGmw_OR/111,E6
230,USA_2020,BGmw_OR,BGmw_OR/111,D6
231,USA_2020,BGmw_OR,BGmw_OR/111,C6
232,USA_2020,BGmw_OR,BGmw_OR/111,B6
233,USA_2020,BGmw_OR,BGmw_OR/Gg,D4
234,USA_2020,BGmw_OR,BGmw_OR/Gg,D3
235,USA_2020,BGmw_OR,BGmw_OR/Gg,D2
236,USA_2020,BGmw_OR,BGmw_OR/Gg,D1
237,USA_2020,BGmw_OR,BGmw_OR/Gg,C4
238,USA_2020,BGmw_OR,BGmw_OR/Gg,C3
239,USA_2020,BGmw_OR,BGmw_OR/Gg,C2
240,USA_2020,BGmw_OR,BGmw_OR/Gg,C1
241,USA_2020,BGmw_OR,BGmw_OR/Gg,B4
242,USA_2020,BGmw_OR,BGmw_OR/Gg,B3
243,USA_2020,BGmw_OR,BGmw_OR/Gg,B2
244,USA_2020,BGmw_OR,BGmw_OR/Gg,B1
245,USA_2020,BGmw_OR,BGmw_OR/Gg,A2
246,USA_2020,BGmw_OR,BGmw_OR/Gg,A1
247,Add_2021,BGmw_OR,BGmw_OR/Ro,A0
248,Add_2021,BGmw_OR,BGmw_OR/Ro,B0
249,USA_2019,BGmw_WA,BGmw_WA/110,E5
250,USA_2019,BGmw_WA,BGmw_WA/110,D5
251,USA_2019,BGmw_WA,BGmw_WA/110,C5
252,USA_2019,BGmw_WA,BGmw_WA/110,B5
253,USA_2019,BGmw_WA,BGmw_WA/111,E6
254,USA_2019,BGmw_WA,BGmw_WA/111,D6
255,USA_2019,BGmw_WA,BGmw_WA/111,C6
256,USA_2019,BGmw_WA,BGmw_WA/111,B6
257,USA_2019,BGmw_WA,BGmw_WA/Gg,D4
258,USA_2019,BGmw_WA,BGmw_WA/Gg,D3
259,USA_2019,BGmw_WA,BGmw_WA/Gg,D2
260,USA_2019,BGmw_WA,BGmw_WA/Gg,D1
261,USA_2019,BGmw_WA,BGmw_WA/Gg,C4
262,USA_2019,BGmw_WA,BGmw_WA/Gg,C3
263,USA_2019,BGmw_WA,BGmw_WA/Gg,C2
264,USA_2019,BGmw_WA,BGmw_WA/Gg,C1
265,USA_2019,BGmw_WA,BGmw_WA/Gg,B4
266,USA_2019,BGmw_WA,BGmw_WA/Gg,B3
267,USA_2019,BGmw_WA,BGmw_WA/Gg,B2
268,USA_2019,BGmw_WA,BGmw_WA/Gg,B1
269,USA_2019,BGmw_WA,BGmw_WA/Gg,A2
270,USA_2019,BGmw_WA,BGmw_WA/Gg,A1
271,Add_2021,BGmw_WA,BGmw_WA/Ro,A0
272,Add_2021,BGmw_WA,BGmw_WA/Ro,B0
273,USA_2019,BGwm_WA,BGwm_WA/110,E5
274,USA_2019,BGwm_WA,BGwm_WA/110,D5
275,USA_2019,BGwm_WA,BGwm_WA/110,C5
276,USA_2019,BGwm_WA,BGwm_WA/110,B5
277,USA_2019,BGwm_WA,BGwm_WA/111,E6
278,USA_2019,BGwm_WA,BGwm_WA/111,D6
279,USA_2019,BGwm_WA,BGwm_WA/111,C6
280,USA_2019,BGwm_WA,BGwm_WA/111,B6
281,USA_2019,BGwm_WA,BGwm_WA/Gg,D4
282,USA_2019,BGwm_WA,BGwm_WA/Gg,D3
283,USA_2019,BGwm_WA,BGwm_WA/Gg,D2
284,USA_2019,BGwm_WA,BGwm_WA/Gg,D1
285,USA_2019,BGwm_WA,BGwm_WA/Gg,C4
286,USA_2019,BGwm_WA,BGwm_WA/Gg,C3
287,USA_2019,BGwm_WA,BGwm_WA/Gg,C2
288,USA_2019,BGwm_WA,BGwm_WA/Gg,C1
289,USA_2019,BGwm_WA,BGwm_WA/Gg,B4
290,USA_2019,BGwm_WA,BGwm_WA/Gg,B3
291,USA_2019,BGwm_WA,BGwm_WA/Gg,B2
292,USA_2019,BGwm_WA,BGwm_WA/Gg,B1
293,USA_2019,BGwm_WA,BGwm_WA/Gg,A2
294,USA_2019,BGwm_WA,BGwm_WA/Gg,A1
295,Add_2021,BGwm_WA,BGwm_WA/Ro,A0
296,Add_2021,BGwm_WA,BGwm_WA/Ro,B0
297,USA_2019,BGxh_WA,BGxh_WA/110,E5
298,USA_2019,BGxh_WA,BGxh_WA/110,D5
299,USA_2019,BGxh_WA,BGxh_WA/110,C5
300,USA_2019,BGxh_WA,BGxh_WA/110,B5
301,USA_2019,BGxh_WA,BGxh_WA/111,E6
302,USA_2019,BGxh_WA,BGxh_WA/111,D6
303,USA_2019,BGxh_WA,BGxh_WA/111,C6
304,USA_2019,BGxh_WA,BGxh_WA/111,B6
305,USA_2019,BGxh_WA,BGxh_WA/Gg1,D2
306,USA_2019,BGxh_WA,BGxh_WA/Gg1,D1
307,USA_2019,BGxh_WA,BGxh_WA/Gg1,C2
308,USA_2019,BGxh_WA,BGxh_WA/Gg1,C1
309,USA_2019,BGxh_WA,BGxh_WA/Gg1,B2
310,USA_2019,BGxh_WA,BGxh_WA/Gg1,B1
311,USA_2019,BGxh_WA,BGxh_WA/Gg1,A2
312,USA_2019,BGxh_WA,BGxh_WA/Gg1,A1
313,USA_2019,BGxh_WA,BGxh_WA/Gg2,D4
314,USA_2019,BGxh_WA,BGxh_WA/Gg2,D3
315,USA_2019,BGxh_WA,BGxh_WA/Gg2,C4
316,USA_2019,BGxh_WA,BGxh_WA/Gg2,C3
317,USA_2019,BGxh_WA,BGxh_WA/Gg2,B4
318,USA_2019,BGxh_WA,BGxh_WA/Gg2,B3
319,Add_2021,BGxh_WA,BGxh_WA/Ro,A0
320,Add_2021,BGxh_WA,BGxh_WA/Ro,B0
321,BECv12,BGxh1,BGxh1/102,C2
322,BECv12,BGxh1,BGxh1/102,C1
323,BECv12,BGxh1,BGxh1/102,B2
324,BECv12,BGxh1,BGxh1/102,B1
325,BECv12,BGxh1,BGxh1/102,A2
326,BECv12,BGxh1,BGxh1/102,A1
327,BECv12,BGxh1,BGxh1/103,C3
328,BECv12,BGxh1,BGxh1/103,B3
329,BECv12,BGxh1,BGxh1/103,A3
330,BECv12,BGxh1,BGxh1/110,E5
331,BECv12,BGxh1,BGxh1/110,E4
332,BECv12,BGxh1,BGxh1/110,D5
333,BECv12,BGxh1,BGxh1/110,D4
334,BECv12,BGxh1,BGxh1/110,C5
335,BECv12,BGxh1,BGxh1/110,C4
336,BECv12,BGxh1,BGxh1/Fm01,E6
337,BECv12,BGxh1,BGxh1/Fm01,E5
338,BECv12,BGxh1,BGxh1/Fm01,D6
339,BECv12,BGxh1,BGxh1/Fm01,D5
340,BECv12,BGxh1,BGxh1/Fm01,C6
341,BECv12,BGxh1,BGxh1/Fm01,C5
342,BECv12,BGxh1,BGxh1/Fm06,E6
343,BECv12,BGxh1,BGxh1/Fm06,E5
344,BECv12,BGxh1,BGxh1/Fm06,D6
345,BECv12,BGxh1,BGxh1/Fm06,D5
346,BECv12,BGxh1,BGxh1/Fm06,C6
347,BECv12,BGxh1,BGxh1/Fm06,C5
348,BECv10,BGxh1,BGxh1/Gg,E4
349,BECv10,BGxh1,BGxh1/Gg,E3
350,BECv10,BGxh1,BGxh1/Gg,D4
351,BECv10,BGxh1,BGxh1/Gg,D3
352,BECv10,BGxh1,BGxh1/Gg,D2
353,BECv10,BGxh1,BGxh1/Gg,D1
354,BECv10,BGxh1,BGxh1/Gg,C4
355,BECv10,BGxh1,BGxh1/Gg,C3
356,BECv10,BGxh1,BGxh1/Gg,C2
357,BECv10,BGxh1,BGxh1/Gg,C1
358,BECv10,BGxh1,BGxh1/Gg,C0
359,BECv10,BGxh1,BGxh1/Gg,B4
360,BECv10,BGxh1,BGxh1/Gg,B3
361,BECv10,BGxh1,BGxh1/Gg,B2
362,BECv10,BGxh1,BGxh1/Gg,B1
363,BECv10,BGxh1,BGxh1/Gg,B0
364,BECv10,BGxh1,BGxh1/Gg,A4
365,BECv10,BGxh1,BGxh1/Gg,A3
366,BECv10,BGxh1,BGxh1/Gg,A2
367,BECv10,BGxh1,BGxh1/Gg,A1
368,BECv10,BGxh1,BGxh1/Gg,A0
369,BECv12,BGxh2,BGxh2/102,C3
370,BECv12,BGxh2,BGxh2/102,C2
371,BECv12,BGxh2,BGxh2/102,B3
372,BECv12,BGxh2,BGxh2/102,B2
373,BECv12,BGxh2,BGxh2/110,E5
374,BECv12,BGxh2,BGxh2/110,E4
375,BECv12,BGxh2,BGxh2/110,D5
376,BECv12,BGxh2,BGxh2/110,D4
377,BECv12,BGxh2,BGxh2/110,C5
378,BECv12,BGxh2,BGxh2/110,C4
379,BECv12,BGxh2,BGxh2/Fm01,E6
380,BECv12,BGxh2,BGxh2/Fm01,E5
381,BECv12,BGxh2,BGxh2/Fm01,D6
382,BECv12,BGxh2,BGxh2/Fm01,D5
383,BECv12,BGxh2,BGxh2/Fm05,E6
384,BECv12,BGxh2,BGxh2/Fm05,E5
385,BECv12,BGxh2,BGxh2/Fm05,D6
386,BECv12,BGxh2,BGxh2/Fm05,D5
387,BECv12,BGxh2,BGxh2/Fm06,E6
388,BECv12,BGxh2,BGxh2/Fm06,E5
389,BECv12,BGxh2,BGxh2/Fm06,D6
390,BECv12,BGxh2,BGxh2/Fm06,D5
391,BECv10,BGxh2,BGxh2/Gg,D4
392,BECv10,BGxh2,BGxh2/Gg,D3
393,BECv10,BGxh2,BGxh2/Gg,C2
394,BECv10,BGxh2,BGxh2/Gg,C1
395,BECv10,BGxh2,BGxh2/Gg,B2
396,BECv10,BGxh2,BGxh2/Gg,B1
397,BECv10,BGxh2,BGxh2/Gg,B0
398,BECv10,BGxh2,BGxh2/Gg,A1
399,BECv10,BGxh2,BGxh2/Gg,A0
400,BECv10,BGxh2,BGxh2/Gs,E5
401,BECv10,BGxh2,BGxh2/Gs,E4
402,BECv10,BGxh2,BGxh2/Gs,D5
403,BECv10,BGxh2,BGxh2/Gs,D4
404,BECv10,BGxh2,BGxh2/Gs,D3
405,BECv10,BGxh2,BGxh2/Gs,D2
406,BECv10,BGxh2,BGxh2/Gs,D1
407,BECv10,BGxh2,BGxh2/Gs,C5
408,BECv10,BGxh2,BGxh2/Gs,C4
409,BECv10,BGxh2,BGxh2/Gs,C3
410,BECv10,BGxh2,BGxh2/Gs,C2
411,BECv10,BGxh2,BGxh2/Gs,C1
412,BECv10,BGxh2,BGxh2/Gs,B4
413,BECv10,BGxh2,BGxh2/Gs,B3
414,BECv10,BGxh2,BGxh2/Gs,B2
415,BECv10,BGxh2,BGxh2/Gs,B1
416,BECv10,BGxh3,BGxh3/110,D5
417,BECv10,BGxh3,BGxh3/110,D4
418,BECv10,BGxh3,BGxh3/110,C5
419,BECv10,BGxh3,BGxh3/110,C4
420,BECv10,BGxh3,BGxh3/111,D5
421,BECv10,BGxh3,BGxh3/111,D4
422,BECv10,BGxh3,BGxh3/111,C5
423,BECv10,BGxh3,BGxh3/111,C4
424,BECv10,BGxh3,BGxh3/112,D6
425,BECv10,BGxh3,BGxh3/112,D5
426,BECv10,BGxh3,BGxh3/113,C6
427,BECv10,BGxh3,BGxh3/113,C5
428,Add_2021,BGxh3,BGxh3/Fm01,E5
429,Add_2021,BGxh3,BGxh3/Fm01,E6
430,BECv10,BGxh3,BGxh3/Gg,D5
431,BECv10,BGxh3,BGxh3/Gg,D4
432,BECv10,BGxh3,BGxh3/Gg,C5
433,BECv10,BGxh3,BGxh3/Gg,C4
434,BECv10,BGxh3,BGxh3/Gg,C3
435,BECv10,BGxh3,BGxh3/Gg,C2
436,BECv10,BGxh3,BGxh3/Gg,B4
437,BECv10,BGxh3,BGxh3/Gg,B3
438,BECv10,BGxh3,BGxh3/Gg,B2
439,Add_2021,BGxh3,BGxh3/Ro,A0
440,Add_2021,BGxh3,BGxh3/Ro,B0
441,BECv12,BGxw1,BGxw1/102,C2
442,BECv12,BGxw1,BGxw1/102,C1
443,BECv12,BGxw1,BGxw1/102,B2
444,BECv12,BGxw1,BGxw1/102,B1
445,BECv12,BGxw1,BGxw1/110,E4
446,BECv12,BGxw1,BGxw1/110,D4
447,BECv12,BGxw1,BGxw1/111,E5
448,BECv12,BGxw1,BGxw1/111,E4
449,BECv12,BGxw1,BGxw1/111,D5
450,BECv12,BGxw1,BGxw1/111,D4
451,BECv12,BGxw1,BGxw1/111,C5
452,BECv12,BGxw1,BGxw1/Fm01,E6
453,BECv12,BGxw1,BGxw1/Fm01,E5
454,BECv12,BGxw1,BGxw1/Fm01,D6
455,BECv12,BGxw1,BGxw1/Fm01,D5
456,BECv12,BGxw1,BGxw1/Fm05,E6
457,BECv12,BGxw1,BGxw1/Fm05,E5
458,BECv12,BGxw1,BGxw1/Fm05,D6
459,BECv12,BGxw1,BGxw1/Fm05,D5
460,BECv10,BGxw1,BGxw1/Gg,E4
461,BECv10,BGxw1,BGxw1/Gg,E3
462,BECv10,BGxw1,BGxw1/Gg,D4
463,BECv10,BGxw1,BGxw1/Gg,D3
464,BECv10,BGxw1,BGxw1/Gg,D2
465,BECv10,BGxw1,BGxw1/Gg,D1
466,BECv10,BGxw1,BGxw1/Gg,C4
467,BECv10,BGxw1,BGxw1/Gg,C3
468,BECv10,BGxw1,BGxw1/Gg,C2
469,BECv10,BGxw1,BGxw1/Gg,C1
470,BECv10,BGxw1,BGxw1/Gg,B4
471,BECv10,BGxw1,BGxw1/Gg,B3
472,BECv10,BGxw1,BGxw1/Gg,B2
473,BECv10,BGxw1,BGxw1/Gg,B1
474,BECv10,BGxw1,BGxw1/Gg,A2
475,BECv10,BGxw1,BGxw1/Gg,A1
476,Add_2021,BGxw1,BGxw1/Ro,A0
477,Add_2021,BGxw1,BGxw1/Ro,B0
478,BECv10,BGxw2,BGxw2/101,D4
479,BECv10,BGxw2,BGxw2/101,D3
480,BECv10,BGxw2,BGxw2/101,C4
481,BECv10,BGxw2,BGxw2/101,C3
482,BECv10,BGxw2,BGxw2/101,B4
483,BECv10,BGxw2,BGxw2/110,D5
484,BECv10,BGxw2,BGxw2/110,D4
485,BECv10,BGxw2,BGxw2/110,C5
486,BECv10,BGxw2,BGxw2/110,C4
487,BECv10,BGxw2,BGxw2/111,D5
488,BECv10,BGxw2,BGxw2/111,D4
489,BECv10,BGxw2,BGxw2/111,C5
490,BECv10,BGxw2,BGxw2/111,C4
491,BECv10,BGxw2,BGxw2/112,E6
492,BECv10,BGxw2,BGxw2/112,E5
493,BECv10,BGxw2,BGxw2/113,D5
494,BECv10,BGxw2,BGxw2/113,C5
495,BECv10,BGxw2,BGxw2/114,D6
496,BECv10,BGxw2,BGxw2/114,D5
497,BECv10,BGxw2,BGxw2/114,C6
498,BECv10,BGxw2,BGxw2/115,D6
499,BECv10,BGxw2,BGxw2/115,D5
500,BECv10,BGxw2,BGxw2/115,C6
501,BECv10,BGxw2,BGxw2/115,C5
